什麼是A型肝炎？,A型肝炎是由A型肝炎病毒感染所造成的急性肝臟發炎
罹患梅毒的嚴重性？,梅毒可透過胎盤傳染給胎兒，造成新生兒感染先天性梅毒，嚴重甚至會導致死產或死亡
梅毒有什麼併發症,梅毒螺旋體可能侵入腦脊髓液或腦脊髓膜，造成「神經性梅毒」
梅毒有哪些高風險族群,曾從事不安全性行為或與人共用針具或稀釋液者皆可能感染梅毒，應定期接受梅毒篩檢
梅毒傳染途徑為何？,梅毒的主要傳染途徑是不安全性行為、血液傳染及母子垂直傳染
梅毒潛伏期和可傳染期,梅毒潛伏期約10至90天，通常約3週；感染初期之傳染力最強
梅毒流行地區有哪些,梅毒為全球性之性傳染病
如何預防梅毒,落實性行為過程正確且全程使用保險套，並搭配水性潤滑液、避免多重性伴侶或與人共用針具或稀釋液等
接種梅毒疫苗需要額外付費嗎？,梅毒目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染梅毒了怎麼辦？,梅毒臨床症狀複雜且多變，若懷疑感染梅毒，勿自行至藥局買藥或誤信偏方，應儘速就醫，由醫師協助臨床診斷
罹患梅毒要注意什麼？,若感染梅毒，勿自行至藥局買藥或誤信偏方，應儘速就醫接受治療，並建議告知自己的性伴侶接受梅毒相關的諮詢、檢驗及治療，避免延誤就醫治療時機
我需要作梅毒篩檢嗎？,曾從事不安全性行為或與人共用針具或稀釋液者皆可能感染梅毒，應定期接受梅毒篩檢
疑似罹患梅毒要去哪裡就醫？,若懷疑自己感染梅毒，應儘速至各縣市醫療院所就醫及諮詢，亦可參考本署全球資訊網「性健康友善門診一覽表」尋求相關衛教諮詢與醫療服務(詳情可見：<a target='_blank' href='https://ppt.cc/fj9Rox'>https://ppt.cc/fj9Rox</a>)
梅毒要怎麼治療？,目前已有抗生素可有效治療梅毒，如果懷疑自己感染梅毒，勿自行至藥局買藥或誤信偏方，請儘速就醫。
什麼是漢生病？,漢生病俗稱麻風或癩病，1873年挪威醫師Hansen發現是由抗酸桿菌－Mycobacterium leprae（M. leprae，麻風桿菌）所引起的疾病，故又稱漢生病（Hansen’s disease）
漢生病會有什麼症狀？,早期症狀為皮膚出現紅色或白色斑塊、丘疹或小結節，患處感覺喪失；但在很早期時，皮膚感覺可能是正常的
罹患漢生病的嚴重性？,漢生病不痛不癢，多數麻木，無知覺，斑塊內無毛髮、不出汗、乾燥或有光澤，自皮膚抹片檢查，常可發現麻風分枝桿菌
漢生病傳染途徑為何？,漢生病不會遺傳，也不會經由食物傳染，真正傳染方式不明，較為廣泛接受的傳染方式係與患者長期密切接觸，經由鼻腔、上呼吸道粘膜接觸到含有麻風桿菌的鼻腔分泌物而受到感染
漢生病潛伏期和可傳染期,潛伏期從數個月到數十年不等，通常為2-5年；結核型2-5年、腫瘤型8-12年
漢生病流行地區有哪些,全球較大的漢生病流行區有巴西、印度、孟加拉、尼泊爾、緬甸、菲律賓及印尼等國
如何預防漢生病,注重個人營養、健康與公共衛生，出現皮膚異狀時，就近前往皮膚科就診，由專科醫師進行檢查，確定病例之鼻腔分泌物或污染物應終期消毒，另有國外研究顯示卡介苗(BCG)對接觸者有某種程度預防效果
接種漢生病疫苗需要額外付費嗎？,漢生病目前沒有疫苗可以預防，建議你事先做好防護措施來保護自己！
疑似感染漢生病了怎麼辦？,目前已有藥物可以有效治療漢生病，病患只要遵照醫師指示按規定服藥，漢生病都可治癒。若出現皮膚異狀等病徵，請立即就醫治療
罹患漢生病要注意什麼？,請依照醫師指示服藥並進行相關追蹤檢查，且不可自行停藥
罹患漢生病有需要隔離？,漢生病是一種慢性、可治癒且不容易傳染的疾病，故不需要隔離
罹患漢生病可以上班上課？,漢生病是一種慢性、可治癒且不容易傳染的疾病，請依照醫師指示服藥並進行相關追蹤檢查，並不影響上班上課
我需要作漢生病篩檢嗎？,若有出現相關皮膚病灶，可至「漢生病個案確診及治療醫院」就醫並進行相關檢查
疑似罹患漢生病要去哪裡就醫？,目前全臺有5家「漢生病個案確診及治療醫院」方便個案就醫及接受治療，包括：國立臺灣大學醫學院附設醫院、馬偕紀念醫院台北院區、臺中榮民總醫院、國立成功大學醫學院附設醫院及衛生福利部樂生療養院
漢生病要怎麼治療？,我國對於漢生病患者採用多重藥物合併療法（Multidrug therapy ， MDT），依醫師指示服藥，漢生病不僅可以治癒，且服藥後便失去傳染性，但不可任意停藥，必須服藥至醫師判為完治為止
了解漢生病用藥,我國自民國72年起，即依據世界衛生組織的建議，對漢生病患者施予多重藥物治療(Multiple Drug Therapy， MDT)，此為世界衛生組織建議之標準用藥
漢生病用藥有哪些種類？,世界衛生組織推行多重藥物合併療法，建議依麻風桿菌數、病灶數分為多菌型和少菌型，選擇不同組合之藥物治療
漢生病用藥後要注意什麼？,若服藥後有不適情形，應立即告知診療醫師或關懷員
服用漢生病用藥有副作用要去哪裡就醫？,可至「漢生病個案確診及治療醫院」方便個案就醫，包括：國立臺灣大學醫學院附設醫院、馬偕紀念醫院台北院區、臺中榮民總醫院、國立成功大學醫學院附設醫院及衛生福利部樂生療養院5家醫院
漢生病用藥可否自行停藥？,漢生病患應規則服藥，且依規定療程完成治療，不可自行停藥，以避免治療效果不佳或抗藥性產生
疑似感染麻風桿菌怎麼辦？,疑似感染者可藉由皮膚抹片菌檢或切片檢查進行診斷，診斷時最適採檢部位以新病灶為首要，後續追蹤最適採檢部位優先順序為新病灶－舊病灶－耳垂，另可依個案臨床症狀進行視力及神經學等必要性檢查
疫苗接種紀錄遺失了怎麼辦？,幼兒接種紀錄丟了，可向原接種單位申請補發，如在各不同地點接種，可先向現戶籍所在地衛生所或就近衛生所(台北市為健康服務中心)洽詢，如接種資料有匯入系統，則可由衛生所統一補發。
幼兒常規疫苗可以同時接種嗎？,不活化疫苗可同時（分開不同部位接種）或間隔任何時間接種。
幼兒常規疫苗可以延後接種嗎？,各項疫苗規定的接種時程一般是經研究達到最佳的免疫效果；寶寶如非因接種禁忌或特殊情形延遲接種，請家長按時為寶寶完成各劑應接種疫苗。
孕婦感染了B型肝炎會有什麼症狀？,一般人多無症狀，少部份有腹部不適、食慾不振、疲倦無力、噁心嘔吐、黃疸或茶色尿情形。
哪裡可以接種瘧疾疫苗？,瘧疾疫苗目前仍在臨床試驗階段，尚未核准上市。
我可以公費接種瘧疾疫苗或投藥嗎？,瘧疾疫苗目前仍在臨床試驗階段，尚未核准上市；而瘧疾預防用藥須自費。
服用瘧疾預防用藥需要額外付費嗎？,"不同成份的瘧疾預防用藥收費也不一樣，一般來說費用大約是：
1. Atovaquone/proguanil成分瘧疾預防用藥(Malarone®)232元/錠
2. Mefloquine成分瘧疾預防用藥(Apo-Mefloquine)160~200元/錠
3. Doxycycline成分瘧疾預防用藥約1.5~4元/錠
4. Hydroxychloroquine成分瘧疾預防用藥約2~4元/錠。"
我現在適合服用瘧疾預防用藥嗎？,建議於前往瘧疾流行地區前4-6週，先至旅遊醫學門診向醫師諮詢，評估感染之風險、有沒有服用藥物上的禁忌症，以及與其他正在服用的藥物之間的交互作用，決定是否有需要預防性投藥以及選擇合適的藥物種類。
服用瘧疾預防用藥後會有什麼副作用？,不同瘧疾預防用藥可能出現不同副作用，請向開立藥物的醫師諮詢。
服用瘧疾預防用藥後有副作用該怎麼辦？,若出現副作用請暫時停止服用藥物並儘速就醫。
罹患瘧疾有需要隔離？,好問題！罹病期間應做好自我隔離，減少周遭瘧蚊再次叮咬的機會，以防疾病傳染給身邊的人。
服用瘧疾用藥有副作用要去哪裡就醫？,請儘速至原服用瘧疾用藥之醫療院所就醫。
哪裡可以接種黃熱病疫苗？,可以至國內的旅遊醫學門診接種黃熱病疫苗。
我想了解德國麻疹疫苗。,簡單來說麻疹腮腺炎德國麻疹混合疫苗(MMR疫苗)是用來預防麻疹、腮腺炎、德國麻疹的活性減毒疫苗，接種1劑MMR疫苗，即可對德國麻疹產生97％以上的保護力。
我需要做德國麻疹篩檢嗎？,育齡婦女如不確定是否具有德國麻疹抗體，建議於結婚前或婚後孕前健康檢查時，進行德國麻疹抗體檢測。
孕婦感染了德國麻疹會有什麼後果？,孕婦感染可能造成胎兒器官受損，如先天性耳聾、青光眼、智能不足及先天性心臟病等缺陷及死產、自然流產。
嬰幼兒感染了德國麻疹會有什麼症狀？,孕婦感染德國麻疹，出生嬰兒會有先天性缺陷的情形，如先天性耳聾、青光眼、白內障、小腦症、智能不足及先天性心臟病等缺陷，統稱為先天性德國麻疹症候群。
嬰幼兒要如何預防德國麻疹？,避免攜帶1歲以下嬰兒前往流行地區，如因故仍須前往，可先行自費接種1劑麻疹、腮腺炎、德國麻疹混合疫苗(MMR疫苗)。
罹患高海拔疾病有需要隔離？,高海拔疾病不具傳染性，不需要隔離。
高海拔疾病用藥有哪些種類？,各家醫療院所有儲備高海拔疾病用藥不盡相同，請洽各醫療院所。
高海拔疾病用藥有哪些廠牌？,各家醫療院所有儲備高海拔疾病用藥不盡相同，請洽各醫療院所。
高海拔疾病用藥可否自行停藥？,請依醫師指示使用藥物。
登革熱有什麼併發症。,感染登革熱時，可能引起不同程度的反應：從輕微或不明顯的症狀，到發燒、出疹的典型登革熱，或出現嗜睡、躁動不安、肝臟腫大等警示徵象，甚至可能導致嚴重出血或嚴重器官損傷的登革熱重症。
哪裡可以接種登革熱疫苗？,國內目前沒有登革熱疫苗，請做好防蚊措施以預防被病媒蚊叮咬。
何時需要進行登革熱的預防接種或投藥？,登革熱目前沒有預防性藥物，請做好防蚊措施以預防被病媒蚊叮咬。
我可以公費接種登革熱疫苗或投藥嗎？,目前登革熱沒有疫苗或預防性藥物，請做好防蚊措施以預防被病媒蚊叮咬。
接種登革熱疫苗該帶什麼證件？,國內目前沒有登革熱疫苗，請做好防蚊措施以預防被病媒蚊叮咬。
有登革熱疫苗擴大施打對象嗎？,國內目前沒有登革熱疫苗，請做好防蚊措施以預防被病媒蚊叮咬。
登革熱疫苗接種前要經過醫師評估？,國內目前沒有登革熱疫苗，請做好防蚊措施以預防被病媒蚊叮咬。
我現在適合接種登革熱疫苗嗎？,國內目前沒有登革熱疫苗，請做好防蚊措施以預防被病媒蚊叮咬。
登革熱疫苗該接種幾劑？,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至45歲的兒童及成人。
登革熱疫苗保護力可以持續多久？,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至46歲的兒童及成人。尚未在臺灣核准上市，保護力的研究分析尚在進行中。
登革熱疫苗接種後或投藥後要注意什麼？,2015年12月全球首支登革熱疫苗問世，為法國Sanofi Pasteur藥廠所生產的Dengvaxia®，屬四價活性減毒疫苗，適用年齡為9至47歲的兒童及成人。尚未在臺灣核准上市。
這是接種登革熱疫苗的副作用嗎？,若曾於其他國家接種且有不良反應症狀出現，應儘速就醫。
接種登革熱疫苗有副作用去哪裡就醫？,若曾於其他國家接種且有不良反應症狀出現，應儘速就醫。
我能公費使用登革熱用藥？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
我適合使用登革熱用藥？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
能自行領用登革熱用藥？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
自費登革熱用藥要多少錢？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
了解登革熱用藥。,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
登革熱用藥有哪些種類？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
登革熱用藥有哪些廠牌？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
登革熱用藥後要注意什麼？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水。
這是登革熱治療後的副作用嗎？,如用藥治療後出現任何不適情形，請立即諮詢開立處方的臨床醫師。
服用登革熱用藥有哪些副作用？,如用藥治療後出現任何不適情形，請立即諮詢開立處方的臨床醫師。
服用登革熱用藥有副作用要去哪裡就醫？,如用藥治療後出現任何不適情形，請立即諮詢開立處方的臨床醫師。
登革熱用藥可否自行停藥？,登革熱目前沒有特效藥物可治療，一般採行支持性療法，請遵照醫師指示服藥、休息、多喝水，勿自行停藥。
茲卡病毒感染症有什麼危險徵兆？,茲卡病毒感染症之症狀與登革熱相似但較輕微，沒有重症的危險徵兆。
茲卡病毒感染症的國內流行期。,國內目前無本土病例，病例以境外移入為主。
哪裡可以接種茲卡病毒感染症疫苗？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
我可以公費接種茲卡病毒感染症疫苗或投藥嗎？,目前無疫苗或藥物可預防，得病後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
接種茲卡病毒感染症疫苗該帶什麼證件？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗有擴大施打對象嗎？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗接種前要經過醫師評估？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
我現在適合接種茲卡病毒感染症疫苗嗎？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
我想了解茲卡病毒感染症疫苗或預防藥品。,目前無疫苗或藥物可預防，感染後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗有哪些種類？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗有哪些廠牌？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗該接種幾劑？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗保護力可以持續多久？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗接種後或投藥後要注意什麼？,目前無疫苗或藥物可預防，感染後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
這是接種茲卡病毒感染症疫苗的副作用嗎？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
茲卡病毒感染症疫苗接種有副作用去哪裡就醫？,目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
罹患茲卡病毒感染症可以上班上課？,可以上班上課，但病人發病當天至發病後7天，或血液病毒核酸檢驗陰性之前，應避免被病媒蚊叮咬，住處應加裝紗窗、紗門，病人應睡在蚊帳內，離開蚊帳時應使用防蚊液。
我能公費使用茲卡病毒感染症用藥？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，並讓病患獲得充足的休息。
我適合使用茲卡病毒感染症用藥？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，並讓病患獲得充足的休息，請依醫師指示服用藥物。
能自行領用茲卡病毒感染症用藥？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，請依醫師指示服用藥物。
自費茲卡病毒感染症用藥要多少錢？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，請由醫師評估治療。
了解茲卡病毒感染症用藥。,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，並讓病患獲得充足的休息，請依醫師指示服用藥物。
茲卡病毒感染症用藥有哪些種類？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，請依醫師指示服用藥物。
茲卡病毒感染症用藥有哪些廠牌？,目前感染茲卡病毒並無抗病毒藥物可治療，建議依症狀給予支持性治療，各家醫療院所使用之藥物廠牌可能不同，請依醫師指示服用藥物。
茲卡病毒感染症用藥後要注意什麼？,可用乙醯氨基酚(Acetaminophen) 解熱劑解除部分不適感，使用抗組織胺解除病患因為丘疹而造成的搔癢，並補充足夠的水分。通常在感染後一週左右就會自行痊癒。
這是茲卡病毒感染症治療後的副作用嗎？,可用乙醯氨基酚(Acetaminophen) 解熱劑解除部分不適感，使用抗組織胺解除病患因為丘疹而造成的搔癢，並補充足夠的水分。通常在感染後一週左右就會自行痊癒。
服用茲卡病毒感染症用藥有哪些副作用？,可用乙醯氨基酚(Acetaminophen) 解熱劑解除部分不適感，使用抗組織胺解除病患因為丘疹而造成的搔癢，並補充足夠的水分。通常在感染後一週左右就會自行痊癒。
服用茲卡病毒感染症用藥有副作用要去哪裡就醫？,如服藥後有任何不適，請至原就診醫療院所向醫師諮詢。
茲卡病毒感染症用藥可否自行停藥？,請依醫師指示服藥，不可自行停藥。
孕婦感染了茲卡病毒感染症會有什麼症狀？,症狀與登革熱相似但較輕微，孕婦若被感染可能產下小頭畸形等神經異常新生兒。
屈公病有什麼危險徵兆。,感染屈公病一般以輕症居多，無重症之危險徵兆。
屈公病有什麼併發症。,大部分患者在1週內可康復，部分患者從發病開始出現嚴重的關節痛，並持續數個月。
屈公病的國內流行期。,國內目前無本土病例，皆為境外移入病例。
哪裡可以接種屈公病疫苗？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
何時需要進行屈公病的預防接種或投藥。,目前無疫苗或藥物可預防，得病後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
我可以公費接種屈公病疫苗或投藥嗎？,目前無疫苗或藥物可預防，得病後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
接種屈公病疫苗該帶什麼證件？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病有擴大施打對象嗎？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗接種前要經過醫師評估？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
我現在適合接種屈公病疫苗嗎？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
我想了解屈公病疫苗或預防藥品。,目前無疫苗或藥物可預防，得病後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
屈公病疫苗有哪些種類？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗有哪些廠牌？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗該接種幾劑？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗保護力可以持續多久？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗接種後或投藥後要注意什麼。,目前無疫苗或藥物可預防，得病後僅能症狀治療，建議你事先做好防蚊措施來保護自己！
這是接種屈公病疫苗的副作用嗎？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
屈公病疫苗接種有副作用去哪裡就醫？,屈公病目前沒有疫苗可以預防，建議你事先做好防蚊措施來保護自己！
罹患屈公病可以上班上課？,可以上班上課，但病人在燒退之前應預防被病媒蚊叮咬，住處應加裝紗窗、紗門，病人應睡在蚊帳內，如離開蚊帳時應噴灑防蚊液。
我需要篩檢屈公病嗎？,如果有流行地區旅遊史且有出現疑似症狀，應儘速就醫，並告知醫師旅遊史，由醫師向主管機關通報，並採集血清檢體送疾病管制署實驗室檢驗。
我能公費使用屈公病用藥？,目前沒有特效藥物可治療屈公病，採取支持性療法。
我適合使用屈公病用藥？,目前沒有特效藥物可治療屈公病，採取支持性療法，請依醫囑接受治療。
能自行領用屈公病用藥？,目前沒有特效藥物可治療屈公病，採取支持性療法，請依醫囑接受治療。
自費屈公病用藥要多少錢？,目前沒有特效藥物可治療屈公病，採取支持性療法，請依醫囑接受治療，各家醫療院所儲備用藥不盡相同，請洽各醫療院所。
了解屈公病用藥。,目前沒有特效藥物可治療屈公病，採取支持性療法。
屈公病用藥有哪些種類？,可使用乙醯胺酚(acetaminophen)等藥物舒緩病人的疼痛與發燒。
屈公病用藥有哪些廠牌？,目前沒有特效藥物可治療屈公病，採取支持性療法，請依醫囑接受治療，各家醫療院所儲備用藥不盡相同，請以各家醫療院所為主。
屈公病用藥後要注意什麼？,若用藥後出現任何不適情形，請立即諮詢開立處方的臨床醫師。
這是治療後的副作用嗎？,請參考用藥說明。
服用屈公病用藥有哪些副作用？,請參考用藥說明。
服用屈公病用藥有副作用要去哪裡就醫？,服藥後發生不適或緊急之情況，應立即向醫師諮詢或接受必要之處置。
屈公病用藥可否自行停藥？,請依照醫師指示服用藥物，勿自行停藥。
恙蟲病有什麼危險徵兆？,猝發且持續性高燒、頭痛、背痛、惡寒、盜汗、淋巴結腫大、恙蟎叮咬處出現無痛性的焦痂（eschar）、一週後皮膚出現紅色斑狀丘疹，有時會併發肺炎或肝功能異常。
恙蟲病有什麼併發症？,猝發且持續性高燒、頭痛、背痛、惡寒、盜汗、淋巴結腫大、恙蟎叮咬處出現無痛性的焦痂（eschar）、一週後皮膚出現紅色斑狀丘疹，有時會併發肺炎或肝功能異常。
哪裡可以接種恙蟲病疫苗？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
何時需要進行恙蟲病的預防接種或投藥？,恙蟲病無相關疫苗可接種或預防性投藥，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
我可以公費接種恙蟲病疫苗或投藥嗎？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
接種恙蟲病疫苗該帶什麼證件？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病有擴大施打對象嗎？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗接種前要經過醫師評估？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
我現在適合接種恙蟲病疫苗嗎？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
我想了解恙蟲病疫苗或預防藥品。,恙蟲病無相關疫苗可接種或預防性投藥，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗有哪些種類？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗有哪些廠牌？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗該接種幾劑？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗保護力可以持續多久？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
恙蟲病疫苗接種後或投藥後要注意什麼？,恙蟲病無相關疫苗可接種或預防性投藥，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
這是接種恙蟲病疫苗的副作用嗎？,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
有接種恙蟲病疫苗副作用去哪裡就醫。,恙蟲病無相關疫苗可接種，若至郊區、戶外活動或工作必須接觸草叢環境時，應做好個人防護措施。
罹患恙蟲病可以上班上課？,可以上班上課。恙蟲病是由立克次體引起的急性傳染病，可經由感染立克次體的恙蟲叮咬傳播，不會直接由人傳染給人。
我需要篩檢恙蟲病嗎？,如有出現疑似恙蟲病症狀，應儘速就醫並告知醫師旅遊史，或有無出入郊區、草叢等暴露史，以供醫師診斷參考。
我能公費使用恙蟲病用藥？,治療以四環黴素類藥物為主，需遵從醫囑使用。
我適合使用恙蟲病用藥？,治療以四環黴素類藥物為主，需遵從醫囑使用。
能自行領用恙蟲病用藥？,治療以四環黴素類藥物為主，需遵從醫囑使用，勿自行領用。
自費恙蟲病用藥要多少錢？,治療以四環黴素類藥物為主，需遵從醫囑使用。
了解恙蟲病用藥。,治療以四環黴素類藥物為主，需遵從醫囑使用。
恙蟲病用藥有哪些種類？,治療以四環黴素類藥物為主，需遵從醫囑使用。
恙蟲病用藥有哪些廠牌？,治療以四環黴素類藥物為主，需遵從醫囑使用，各家醫療院所儲備用藥不盡相同，請洽各醫療院所。
恙蟲病用藥後要注意什麼？,若用藥後出現任何不適情形，請立即諮詢開立處方的臨床醫師。
這是治療後的副作用嗎？,請參考用藥說明。
服用恙蟲病用藥有哪些副作用？,請參考用藥說明。
服用恙蟲病用藥有副作用要去哪裡就醫？,服藥後發生不適或緊急之情況，應立即向醫師諮詢或接受必要之處置。
恙蟲病用藥可否自行停藥？,請依照醫師指示服用藥物，勿自行停藥。
疑似罹患發熱伴血小板減少綜合症要去哪裡就醫？,若出現疑似症狀時，請儘速至附近醫療院所就醫，並告知醫師旅遊或活動史，以利醫師及早診斷及通報。
地方性斑疹傷寒有什麼併發症？,急性腎衰竭、呼吸衰竭等併發症可能會發生，但不常見。
小兒麻痺有什麼危險徵兆？,超過90%感染到小兒麻痺病毒的人為不顯性感染或非特異性發燒，約10%的人會出現發燒、頭痛、倦怠、噁心、嘔吐等輕微症狀。
小兒麻痺有什麼併發症？,約1%的人會發生無菌性腦膜炎。只有小於1％感染到小兒麻痺病毒的人會出現無力麻痺症狀。其中又有0.5%的麻痺症狀無法復原，少數因呼吸道麻痺導致死亡。
除了接種或投藥外的小兒麻痺預防方法。,預防小兒麻痺症最有效的方法就是按時接種小兒麻痺疫苗。民眾欲赴小兒麻痺症流行地區或目前有疫情的國家前，應先前往旅遊門診諮詢，並確實完成疫苗接種。
哪裡可以接種小兒麻痺疫苗？,1.您可至全國各地衛生所(台北市為各區健康服務中心)或各縣市預防接種合約醫院診所接種。各縣市疫苗的合約院所，可向各地衛生局(所)洽詢。
有擴大小兒麻痺疫苗施打對象嗎？,出生滿2個月至入國小前幼童需接種5劑疫苗。另外，民眾欲赴小兒麻痺症流行地區或有感染風險的國家前，應先前往旅遊醫學門診諮詢，並確實完成疫苗接種或評估追加接種1劑小兒麻痺疫苗。目前無擴大施打計畫。
我想了解小兒麻痺疫苗或預防藥品。,小兒麻痹症無特效藥治療，僅能採取支持性療法。
小兒麻痺疫苗有哪些廠牌。,目前台灣進口疫苗製造廠或代理商有賽諾菲股份有限公司、荷商葛蘭素史克藥廠股份有限公司台灣分公司。
小兒麻痺疫苗保護力可以持續多久？,完成基礎免疫（至少打完3劑含小兒麻痺成份之疫苗）後可產生長期保護力，但目前尚無詳細實驗數據。
接種小兒麻痺疫苗有副作用去哪裡就醫？,請儘速至原接種疫苗之醫療院所就醫。
罹患小兒麻痺要注意什麼？,為降低傳播風險，疑似個案如需住院治療，應採取接觸傳染防護措施。被病人咽喉唾液或糞便污染的衣物需以醛類、鹵素類消毒劑（如市售含氯漂白水）即時消毒，在病人出院時，應實施終極消毒。
罹患小兒麻痺可以上班上課？,小兒病毒在喉部約存在1週，為降低傳播機率，原則上小兒麻痺患者在發病後1週內應落實生病不上班不上課。
我需要篩檢嗎？,目前國內無小兒麻痺病毒快速篩檢試劑。
疑似罹患小兒麻痺要去哪裡就醫？,若出現疑似症狀時，請儘速至大醫院就醫。
小兒麻痺要怎麼治療？,小兒麻痹症無特效藥治療，僅能採取支持性療法，若出現疑似症狀，請由醫師評估診斷治療。
我能公費使用小兒麻痺用藥？,小兒麻痹症無公費用藥。
我適合使用小兒麻痺用藥？,小兒麻痹症無特效藥治療，僅能採取支持性療法，出現疑似症狀，由醫師評估診斷治療。
能自行領用小兒麻痺用藥？,小兒麻痹症無特效藥治療，僅能採取支持性療法，若出現疑似症狀，請由醫師評估診斷治療。
